Bathrooms,Bedrooms,Fireplaces Total,Lot Square Footage,Parking Covered Total,Square Footage,Square Footage Unfinished,Year Built,Age,Original Price,City,Selling Price
1.75,4,2,15453,2,2450,0,1958,63,824950,1,850000
1.75,3,1,8998,2,1362,0,1958,63,709000,1,735000
1.75,3,2,10400,0,2200,0,1958,63,985000,1,1100000
1.75,3,1,18241,2,2110,0,1959,62,699000,1,699000
1.75,5,2,8736,3,2310,1020,1959,62,1200000,1,1000000
1.75,3,1,8518,1,1320,0,1959,62,1025000,1,1200000
1.75,3,1,10275,2,1230,0,1959,62,669000,1,688600
1.75,4,1,7700,2,1550,0,1959,62,800000,1,800000
1.75,3,2,8402,2,1490,0,1959,62,765000,1,765000
1.75,3,1,9143,2,1330,0,1960,61,799800,1,780000
1.75,3,2,8400,2,1610,0,1960,61,800000,1,800000
1.75,3,0,7972,1,1500,230,1960,61,739888,1,775000
1.75,4,2,9000,2,2230,0,1960,61,825000,1,800000
1.75,4,1,8789,2,2110,0,1960,61,825000,1,830000
1.75,4,1,12324,0,1850,0,1961,60,775000,1,752500
1.75,5,2,11600,2,2170,0,1961,60,865800,1,865800
1.75,3,1,7403,2,1330,0,1961,60,1200000,1,1150000
1.75,4,0,7560,1,1662,0,1961,60,684950,1,620000
1.75,3,2,7780,2,1429,0,1961,60,665000,1,705000
1.75,3,1,8250,2,1300,0,1961,60,725000,1,750000
1.75,3,2,8250,2,1450,0,1961,60,729888,1,785000
1.75,3,1,8800,2,1430,0,1961,60,829950,1,829950
1.75,4,0,7344,1,2270,0,1961,60,889000,1,860000
1.75,3,1,9659,2,1550,1550,1961,60,949900,1,890000
1.75,2,1,9040,2,1970,0,1961,60,1150000,1,1100000
1.75,3,1,8400,2,1440,0,1962,59,825000,1,769927
1.75,4,2,9071,1,2040,0,1962,59,700000,1,665000
1.75,3,1,7700,2,1200,0,1962,59,689500,1,689500
1.75,4,2,7700,2,1750,0,1962,59,660000,1,690000
1.75,3,1,8425,2,1410,0,1962,59,770000,1,785700
1.75,4,2,8091,2,2060,0,1962,59,798000,1,818000
1.75,3,2,8480,2,1650,0,1962,59,895000,1,835000
1.75,3,1,9730,2,2200,0,1962,59,950000,1,950000
1.75,2,2,14161,1,1310,0,1963,58,645000,1,578000
1.75,3,1,10770,3,1753,0,1963,58,1150000,1,1220000
1.75,4,2,12826,2,2010,0,1963,58,1399950,1,1350000
1.75,3,1,7500,2,1470,0,1963,58,770000,1,770000
1.75,4,1,9769,2,1860,0,1963,58,799000,1,845000
1.75,5,2,8632,2,1900,0,1963,58,720000,5,720000
1.75,3,1,7874,2,1400,0,1963,58,790000,5,804000
1.75,3,1,10088,2,1364,0,1964,57,709950,1,712500
1.75,3,3,9705,2,3323,1274,1964,57,899800,1,965000
1.75,3,1,7229,2,1250,0,1964,57,635000,1,665000
1.75,4,2,7350,2,2040,0,1964,57,923500,1,925000
1.75,3,1,7210,2,1250,500,1965,56,665000,1,715000
1.75,3,1,7650,2,1600,0,1965,56,820000,1,762000
1.75,4,2,9520,2,2190,270,1965,56,839000,5,817000
1.75,5,2,14630,2,2650,0,1965,56,950000,1,825000
1.75,4,1,7107,2,1470,0,1965,56,758000,1,836200
1.75,4,2,11887,2,2150,150,1965,56,835000,5,835000
1.75,4,0,7950,0,1860,164,1965,56,945000,1,932000
1.75,5,2,7282,2,2250,0,1965,56,899000,5,840000
1.75,4,1,8934,2,1500,0,1965,56,798500,5,774995
1.75,4,2,11887,2,2150,150,1965,56,835000,5,835000
1.75,4,2,9000,2,1850,0,1966,55,819999,1,780000
1.75,4,1,9751,2,2140,0,1966,55,1488000,1,1450000
1.75,3,2,8190,2,1430,0,1966,55,725000,1,745000
1.75,4,2,7650,2,1950,0,1966,55,775000,1,750000
1.75,3,2,8566,2,1560,0,1966,55,759000,1,765000
1.75,3,1,9375,2,1540,0,1966,55,850000,5,799000
1.75,3,1,7110,2,1600,0,1966,55,739888,1,810000
1.75,3,1,8954,2,2120,750,1966,55,799950,1,815000
1.75,3,1,10150,2,1700,0,1966,55,650000,5,680000
1.75,3,1,7350,2,1250,0,1966,55,775000,5,775000
1.75,3,1,8980,3,3050,1500,1967,54,625000,1,685000
1.75,3,1,8560,2,1660,0,1967,54,949988,1,950000
1.75,3,1,9751,2,1380,0,1967,54,1299900,1,1350000
1.75,4,1,9600,2,2000,0,1967,54,725000,5,740000
1.75,3,2,8518,2,1400,0,1967,54,750000,1,760000
1.75,3,1,8700,2,1340,0,1967,54,787500,1,787500
1.75,3,1,8353,2,1560,0,1967,54,775000,1,795000
1.75,3,1,7875,2,1380,0,1967,54,799950,1,799950
1.75,3,1,8262,2,1640,0,1967,54,900000,1,865000
1.75,4,1,9420,3,1560,2110,1967,54,849800,1,826000
1.75,3,1,7210,2,1920,0,1967,54,848800,1,871000
1.75,3,1,7140,1,2125,0,1967,54,945000,1,875000
1.75,4,1,8585,2,1600,0,1967,54,775000,1,828800
1.75,4,1,12750,1,1740,0,1968,53,828000,1,852000
1.75,3,2,7600,1,1690,0,1968,53,789000,1,760000
1.75,3,1,7420,2,1250,0,1968,53,749000,5,772600
1.75,4,1,9750,0,2000,0,1968,53,849000,5,850000
1.75,3,1,9700,2,1440,0,1968,53,829900,5,881000
1.75,3,1,9000,2,1830,0,1968,53,919950,5,885000
1.75,3,1,7700,2,1740,0,1968,53,860888,1,930000
1.75,3,2,15368,2,2680,240,1968,53,1100000,1,1100000
1.75,3,1,8911,2,1340,0,1968,53,629000,5,600000
1.75,3,1,7200,0,1450,0,1968,53,638500,5,615000
1.75,3,1,7200,4,1200,0,1968,53,660000,5,650000
1.75,3,1,9315,2,1190,0,1968,53,669000,5,679500
1.75,3,1,8960,0,1660,0,1968,53,650000,5,700000
1.75,3,1,7210,2,1190,0,1968,53,689950,5,721750
1.75,3,2,10625,1,1710,0,1968,53,749500,5,776000
1.75,3,1,15500,2,1570,0,1968,53,825000,5,780000
1.75,3,1,10560,2,1720,0,1968,53,735000,5,800000
1.75,3,1,10775,2,1550,0,1969,52,720000,1,728000
1.75,5,2,16729,2,2090,0,1969,52,940000,1,775000
1.75,3,3,8925,2,3080,1483,1969,52,1025000,1,976000
1.75,3,2,27345,2,3000,0,1969,52,1290000,1,1260000
1.75,4,1,9000,2,1560,0,1969,52,799000,5,860000
1.75,3,1,7609,2,1380,0,1969,52,629990,5,606990
1.75,3,1,6960,2,1580,0,1969,52,780000,5,722500
1.75,3,1,6525,2,1340,0,1969,52,774850,5,774850
1.75,4,0,24033,0,1520,0,1969,52,785000,5,765000
1.75,3,1,8400,2,1575,0,1969,52,829000,5,880000
1.75,4,2,11390,2,1650,0,1970,51,950000,5,910000
1.75,3,1,8394,2,1480,0,1971,50,705000,5,750000
1.75,5,2,14400,2,1980,0,1972,49,1275000,1,1350000
1.75,3,1,8450,2,1460,0,1972,49,774900,5,786000
1.75,4,1,8020,2,1680,0,1972,49,845000,5,800000
1.75,3,1,8560,2,1570,0,1973,48,650000,1,615000
1.75,3,1,9446,2,1530,0,1973,48,710000,1,710000
1.75,3,1,7907,2,1580,0,1973,48,788000,5,826000
1.75,3,1,13781,2,1210,0,1973,48,725000,5,700440
1.75,3,1,8424,2,1390,0,1974,47,775000,5,830000
1.75,3,1,8400,2,1650,0,1974,47,849750,5,880000
1.75,4,1,10320,2,2360,0,1974,47,899950,1,980000
1.75,4,1,4500,2,2390,0,1974,47,765000,1,708000
1.75,3,1,19345,2,1860,0,1975,46,799800,1,775000
1.75,3,0,7000,2,1730,0,1975,46,735000,5,728000
1.75,4,2,14220,0,1940,0,1976,45,881000,1,845000
1.75,3,1,7890,2,2010,0,1976,45,888000,1,888000
1.75,3,2,12315,2,1520,0,1977,44,699999,1,715000
1.75,4,2,11331,2,2299,0,1977,44,800000,1,820000
1.75,4,2,10101,2,2150,660,1977,44,688000,5,741000
1.75,3,1,11868,2,1130,0,1977,44,750000,5,750000
1.75,4,1,9900,2,2210,0,1978,43,950000,1,950000
1.75,3,1,7210,2,1122,0,1978,43,650000,5,695000
1.75,3,1,6960,2,1200,0,1978,43,699900,5,700000
1.75,2,1,2855,2,1330,0,1979,42,625000,5,600000
1.75,2,1,2432,2,1526,0,1979,42,715000,1,715000
1.75,3,1,9350,2,1730,0,1979,42,725000,5,735000
1.75,3,2,40946,2,2480,0,1979,42,899500,5,850000
1.75,3,1,7800,2,1120,0,1980,41,650000,5,650000
1.75,3,1,8400,2,1230,0,1980,41,650000,5,660000
1.75,3,1,30000,2,2280,0,1981,40,1085000,5,1090000
